drug_master_usage_id,drug_master_id
O|1*3P,3BTTS
DC|*2BD,3L.B
DC|*2BD,3L.T
DC|*2BD,3L.T2
DC|*2BD,5L.B
O|1*2P,5MGCL
O|1*2P,5MGCL1
DC|*2BD,5U.CB
DC|*2BD,5U.CS
DC|*2BD,5U.T
DC|*2BD,5U.T2
DC|*2BD,5U.T2XT30
O|1*2P,6MPT
DC|*2BD,10U.B
DC|*2BD,10U.CB
DEM|*2,10U.CBT
DC|*2BD,10U.CS
DC|*2BD,10U.T
DC|*2BD,10U.T2
DC|*2BD,20SA.CS
DW|*1H,20SA.O
DEM|*2,20U.CB
DW|*1H,40SA.O
D2|*1H,40U.CBT
DG|*2BD,A30
O|1*1H,ABIT2
OZ|1*1H,ABITD10
OZ|1*1H,ABITD15
SL|1*1,ACAT
FL|1*3P,ACEO1
FL|1*3P,ACEO2
FL|1*3P,ACEOM2
OP|1*1P,ACETC6
|*DOC,ACNXL
O|*1H,AERO25
O|1*1PB,AERT
DC|*2BD,AHAXC05
CH|1*3P,AIRT120
O|1*2P,ALBTF2
DW|*H/W,ALDXA
O|1*1PB,ALFTA
O|1*1P,ALFTA1
O|1*1P,ALLTX3
O|1*HS,ALPTPO5
O|1*4P1,AM3
O|1*4P1,AM4
O|*3P,AMBOA
O|1*3P,AMBTA
O|1*1H,AMIT1P
O|1*1H,AMIT2F
-,AMITZ
O|*2P,AMKO228
O|1*1P,AMLTD1
O|1*1P,AMLTD5
O|*3P,AMOOC1
O|*3P,AMOOC2
O|*2P,AMOOES6
O|1*3P,AMOTC5
O|1*3P,AMOTG2
O|1*4P1,ANTO2
O|1*3P,AP4
O|*DOC,AP60
AF|*1H,ARBX10
O|1*2,ARITA5
O|1*1H,ARITA10
O|1*1PT,ASPT8
O|1*1PB,ATET2
O|1*1PB,ATET5
-,ATOTL20
O|1*1PD,ATOTX10
O|1*1PD,ATOTX20
O|1*1PD,ATOTX40
SS|1*1,AVAX
-,AXIT20
O|1*1PB,AZATI5
O|*1H,AZIO2
O|2*1H,AZITF
IJ|*TD,B12IH
O|1*3P,BACTC10
O|1*3P,BCOTED
O|1*3P,BENT2
O|1*3P,BENT5
DC|*2BD,BEPX
O|*2A,BERO
O|1*3P,BERT
O|1*2P,BETT24
DC|*2BD,BETXAT1
DH|*2BD,BETXS
DC|*2BD,BETXT30
O|1*1A,BILT2
OP|1*2A,BIOO
O|1*1A,BIOT
O|1*1PB,BIOTQ
O|1*1PB,BIST25
O|2*1H,BISTE
O|1*2P,BONT5
O|1*2P,BOST
O|1*1PB,BRIT10
O|*3P,BROOH
O|1*3P,BROTH
O|1*3A1/2,BUDT
IH|2*2,BUDX2
O|1*3P,BUST
O|1*1PB,CALT1
O|1*3P,CALT6
O|1*1PB,CALT15
|*DOC,CALTF
O|1*2P,CALTSG
O|1*1PB,CANT8
O|1*1PB,CANT16
DC|*2BD,CANXN1
O|1*4A,CAPTR1
O|*3P,CARO1
