drug_usage_id,dosage_form
|1*1A,CAP
|1*1H,CAP
|1*1PD,CAP
|1*2P,CAP
|1/2*1A,CAP
|1/2*1PAD,CAP
|1/2*1PD,CAP
|2*1PD,CAP
IH|1*1,CAP
IH|1*B,CAP
O|1*1,CAP
O|1*1/W,CAP
O|1*1A,CAP
O|1*1A1/2,CAP
O|1*1C,CAP
O|1*1H,CAP
O|1*1HAD,CAP
O|1*1M,CAP
O|1*1P,CAP
O|1*1PAD,CAP
O|1*1PD,CAP
O|1*1W,CAP
O|1*2A,CAP
O|1*2A1/2,CAP
O|1*2A15,CAP
O|1*2C,CAP
O|1*2P,CAP
O|1*2PBH,CAP
O|1*2PLD,CAP
O|1*3A,CAP
O|1*3P,CAP
O|1*4A,CAP
O|1*DOC,CAP
O|1*H,CAP
O|1*PRN,CAP
O|1*Q1W,CAP
O|1/2-1*H,CAP
O|1/2*1,CAP
O|1/2*1A1/2,CAP
O|1/2*1AD,CAP
O|1/2*1H,CAP
O|1/2*1P,CAP
O|1/2*1PD,CAP
O|1/2*2,CAP
O|1/2*2P,CAP
O|1/2*H,CAP
O|1/2*PRN,CAP
O|1/4*1A1/2,CAP
O|1/4*1H,CAP
O|1/4*1P,CAP
O|1/4*2P,CAP
O|1/4*B,CAP
O|1/4*H,CAP
O|1/4*Q8,CAP
O|11/2*1P,CAP
O|2*1H,CAP
O|2*1P,CAP
O|2*1PL,CAP
O|2*2P,CAP
O|2*H,CAP
O|2*Q8,CAP
O|3*3P,CAP
O|3/4*1P,CAP
O|3/4*2P,CAP
O|4*1H,CAP
O|4*H,CAP
O|S*1A1/2,CAP
OP|1*1A1/2,CAP
OP|2*1A1/2,CAP
OP|2*2A1/2,CAP
OP|3*1A1/2,CAP
OP|3*2A1/2,CAP
OP|4*1A1/2,CAP
OP|4*2A,CAP
OP|4*2A1/2,CAP
OP|5*1A1/2,CAP
OP|6*1A1/2,CAP
OP|7*1A1/2,CAP
OP|9*1A1/2,CAP
SL|1*1,CAP
SL|1/2*1,CAP
SL|1/2*1P,CAP
|*1P,cc
|*2P,cc
|*H,cc
|0.5*1C,cc
|0.5*1P,cc
|1.5*2P,cc
|1*1P,cc
|2.5*1P,cc
|2.5*2P,cc
|2*1P,cc
|4*2P,cc
|5*1P,cc
|5*2P,cc
|5*Q1W,cc
EC|5*5,cc
EC|6*4P,cc
EC|8*4,cc
NS|0.5*2,cc
null|7*4P,cc
O|-*1H,cc
O|-*2P,cc
O|-*3A1/2,cc
O|-*3P,cc
O|*1,cc
O|*1A,cc
O|*1H,cc
O|*1P,cc
O|*2,cc
O|*2P,cc
O|*2P1,cc
O|*2PBH,cc
O|*3A,cc
O|*3A1,cc
O|*3A1/2,cc
O|*3P,cc
O|*4P,cc
O|*H,cc
O|*Q12,cc
O|*Q6,cc
O|*Q8,cc
O|0.1*2PBH,cc
O|0.2*1P,cc
O|0.2*2P,cc
O|0.25*1H,cc
O|0.25*1P,cc
O|0.25*1PD,cc
O|0.25*2P,cc
O|0.25*2PBH,cc
O|0.25*H,cc
O|0.3*1P,cc
O|0.3*1PD,cc
O|0.3*2P,cc
O|0.3*3P,cc
O|0.3*Q4,cc
O|0.3*Q6,cc
O|0.4*1P,cc
O|0.5*1A,cc
O|0.5*1H,cc
O|0.5*1P,cc
O|0.5*2P,cc
O|0.5*2PBH,cc
O|0.5*3A,cc
O|0.5*3P,cc
O|0.5*H,cc
O|0.5*Q12,cc
O|0.6*1P,cc
O|0.6*2P,cc
O|0.6*3P,cc
O|0.6*4P,cc
O|0.65*Q12,cc
O|0.7*1,cc
O|0.7*1A,cc
O|0.7*1AD,cc
O|0.7*1P,cc
O|0.8*1P,cc
O|0.8*2P,cc
O|0.9*1P,cc
O|0.9*3P,cc
O|1.2*1H,cc
O|1.2*1P,cc
O|1.2*2P,cc
O|1.2*3P,cc
O|1.2*H,cc
O|1.25*2P,cc
O|1.25*3P,cc
O|1.3*3P,cc
O|1.3*4P,cc
O|1.3*Q12,cc
O|1.4*2P,cc
O|1.5*1H,cc
O|1.5*1P,cc
O|1.5*2P,cc
O|1.5*3A1/2,cc
O|1.5*3P,cc
O|1.5*4P,cc
O|1.7*1H,cc
O|1.7*1P,cc
O|1.7*2P,cc
O|1.75*3P,cc
O|1.8*3P,cc
O|1*1A,cc
O|1*1A1/2,cc
O|1*1H,cc
O|1*1P,cc
O|1*1PC,cc
O|1*2P,cc
O|1*2PBH,cc
O|1*3A1/2,cc
O|1*3P,cc
O|1*4P,cc
O|1*H,cc
O|1*Q8,cc
O|10*1,cc
O|10*1H,cc
O|10*1P,cc
O|10*2,cc
O|10*2P,cc
O|10*3P,cc
O|10*3P1,cc
O|10*4A,cc
O|10*4P,cc
O|10*H,cc
O|10*PRN,cc
O|10*Q8,cc
O|11.5*2P,cc
O|11*Q12,cc
O|12*1H,cc
O|12*1P,cc
O|12*2P,cc
O|12*5,cc
O|13*2P,cc
O|15*1H,cc
O|15*1P,cc
O|15*1PD,cc
O|15*2P,cc
O|15*3P,cc
O|15*4A,cc
O|15*D,cc
O|15*H,cc
O|15*Q8,cc
O|2.3*1P,cc
O|2.4*3P,cc
O|2.5*1,cc
O|2.5*1H,cc
O|2.5*1P,cc
O|2.5*1PD,cc
O|2.5*2,cc
O|2.5*2P,cc
O|2.5*2PBH,cc
O|2.5*3A,cc
O|2.5*3A1/2,cc
O|2.5*3P,cc
O|2.5*4A,cc
O|2.5*4P,cc
O|2.5*DOC,cc
O|2.5*H,cc
O|2.5*Q12,cc
O|2.5*Q8,cc
O|2.6*1H,cc
O|2.6*2,cc
O|2.8*1P,cc
O|2*1,cc
O|2*1A,cc
O|2*1H,cc
O|2*1P,cc
O|2*1PC,cc
O|2*2D,cc
O|2*2P,cc
O|2*2PBH,cc
O|2*3A1/2,cc
O|2*3P,cc
O|2*H,cc
O|2*HS,cc
O|2*Q8,cc
O|20*1,cc
O|20*1H,cc
O|20*2P,cc
O|20*3A,cc
O|20*3P,cc
O|20*H,cc
O|25*1H,cc
O|3.2*1H,cc
O|3.2*1P,cc
O|3.5*1H,cc
O|3.5*1P,cc
O|3.5*2P,cc
O|3.5*2PBH,cc
O|3.5*3A1/2,cc
O|3.5*3P,cc
O|3.5*4P,cc
O|3.5*H,cc
O|3.5*Q4,cc
O|3.5*Q6,cc
O|3.6*2P,cc
O|3*1,cc
O|3*1A,cc
O|3*1H,cc
O|3*1P,cc
O|3*1PC,cc
O|3*2,cc
O|3*2A1/2,cc
O|3*2P,cc
O|3*2PBH,cc
O|3*3A1/2,cc
O|3*3P,cc
O|3*4P,cc
O|3*H,cc
O|3*HS,cc
O|3*PRN,cc
O|3*Q8,cc
O|30*1H,cc
O|30*1PD,cc
O|30*2P,cc
O|30*3A,cc
O|30*3P,cc
O|30*3P1,cc
O|30*H,cc
O|35*2P,cc
O|4.4*2P,cc
O|4.5*1H,cc
O|4.5*1P,cc
O|4.5*2P,cc
O|4.5*3P,cc
O|4.5*H,cc
O|4*1A,cc
O|4*1H,cc
O|4*1P,cc
O|4*1PC,cc
O|4*1T,cc
O|4*2A,cc
O|4*2P,cc
O|4*2PBH,cc
O|4*3A1/2,cc
O|4*3P,cc
O|4*4A1/2,cc
O|4*4P,cc
O|4*H,cc
O|4*HS,cc
O|4*PRN,cc
O|4*Q6,cc
O|4*Q8,cc
O|5.5*2P,cc
O|5.5*3P,cc
O|5*1,cc
O|5*1A,cc
O|5*1H,cc
O|5*1P,cc
O|5*1PC,cc
O|5*2,cc
O|5*2A,cc
O|5*2P,cc
O|5*3A,cc
O|5*3A1/2,cc
O|5*3P,cc
O|5*4P,cc
O|5*H,cc
O|5*HS,cc
O|5*Q6,cc
O|5*Q8,cc
O|50*1PD,cc
O|55*3P,cc
O|6.5*1H,cc
O|6.5*2P,cc
O|6*1H,cc
O|6*1P,cc
O|6*2,cc
O|6*2P,cc
O|6*3A1/2,cc
O|6*3P,cc
O|6*H,cc
O|6*Q12,cc
O|6*Q8,cc
O|7.5*1A,cc
O|7.5*1H,cc
O|7.5*1P,cc
O|7.5*2P,cc
O|7.5*3A1/2,cc
O|7.5*3P,cc
O|7.5*4A,cc
O|7.5*H,cc
O|7*1A,cc
O|7*1H,cc
O|7*1P,cc
O|7*2P,cc
O|7*3A1/2,cc
O|7*3P,cc
O|7*H,cc
O|75*Q8,cc
O|8.5*2P,cc
O|8*2P,cc
O|8*4A,cc
O|8*H,cc
O|9*1,cc
O|9*1H,cc
O|9*2P,cc
O|9*3P,cc
ON|-*3P,cc
ON|1*4P,cc
ON|3*3A,cc
ON|4*4P,cc
SC|0.6*Q12,cc
BE|1-2*1,DROP
BE|1-2*1H,DROP
BE|1-2*2,DROP
BE|1-2*4,DROP
BE|1-2*PRN,DROP
BE|1*1,DROP
BE|1*1H,DROP
BE|1*2,DROP
BE|1*3,DROP
BE|1*4,DROP
BE|1*B,DROP
BE|1*H,DROP
BE|1*OD,DROP
BE|1*PRN,DROP
BE|1*Q2,DROP
BE|1*Q3,DROP
BE|1*Q4,DROP
BE|1*Q6,DROP
BE|2*2,DROP
BE|2*4,DROP
BE|2*H,DROP
