id,code,display_line_1,display_line_2,display_line_3,REGIMEN_CODE_HX
|*1-2H,*1-2H,-,ก่อนนอน 1-2 ชั่วโมง,-,-
|*1/2S,*1/2S,-,ครึ่ง ชั่วโมงก่อนมีเพศสัมพันธ์,-,-
|*1/M,*1/M,-,เดือนละ 1 ครั้ง,-,-
|*1/WA,*1/WA,-,สัปดาห์ละ 1 ครั้ง ก่อนอาหารเช้า 30 นาที,-,-
|*1/WA1,*1/WA1,-,สัปดาห์ละ 1 ครั้ง ก่อนอาหารเช้า 1 ชั่วโมง,-,-
|*13S,*13S,-,1-3 ชั่วโมงก่อนมีเพศสัมพันธ์,-,-
|*1A1,*1A1,-,วันละ 1 ครั้ง ก่อนอาหารเช้า 1 ชั่วโมง,-,-
|*1A15,*1A15,-,ก่อนอาหารเช้า 15 นาที,-,-
|*1A2,*1A2,-,ก่อนอาหารเช้า 2 ชั่วโมง,-,-
|*1AAD,*1AAD,-,ก่อนอาหารเช้า (วัน เว้น วัน),-,-
|*1AB,*1AB,-,ก่อนอาหาร เช้า,-,-
|*1AB1/M,*1AB1/M,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB1/MD01,*1AB1/MD01,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 1 ของเดือน,-
|*1AB1/MD02,*1AB1/MD02,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 2 ของเดือน,-
|*1AB1/MD03,*1AB1/MD03,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 3 ของเดือน,-
|*1AB1/MD04,*1AB1/MD04,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 4 ของเดือน,-
|*1AB1/MD05,*1AB1/MD05,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 5 ของเดือน,-
|*1AB1/MD06,*1AB1/MD06,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 6 ของเดือน,-
|*1AB1/MD07,*1AB1/MD07,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 7 ของเดือน,-
|*1AB1/MD08,*1AB1/MD08,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 8 ของเดือน,-
|*1AB1/MD09,*1AB1/MD09,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 9 ของเดือน,-
|*1AB1/MD10,*1AB1/MD10,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 10 ของเดือน,-
|*1AB1/MD11,*1AB1/MD11,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 11 ของเดือน,-
|*1AB1/MD12,*1AB1/MD12,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 12 ของเดือน,-
|*1AB1/MD13,*1AB1/MD13,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 13 ของเดือน,-
|*1AB1/MD14,*1AB1/MD14,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 14 ของเดือน,-
|*1AB1/MD15,*1AB1/MD15,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 15 ของเดือน,-
|*1AB1/MD16,*1AB1/MD16,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 16 ของเดือน,-
|*1AB1/MD17,*1AB1/MD17,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 17 ของเดือน,-
|*1AB1/MD18,*1AB1/MD18,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 18 ของเดือน,-
|*1AB1/MD19,*1AB1/MD19,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 19 ของเดือน,-
|*1AB1/MD20,*1AB1/MD20,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 20 ของเดือน,-
|*1AB1/MD21,*1AB1/MD21,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 21 ของเดือน,-
|*1AB1/MD22,*1AB1/MD22,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 22 ของเดือน,-
|*1AB1/MD23,*1AB1/MD23,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 23 ของเดือน,-
|*1AB1/MD24,*1AB1/MD24,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 24 ของเดือน,-
|*1AB1/MD25,*1AB1/MD25,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 25 ของเดือน,-
|*1AB1/MD26,*1AB1/MD26,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 26 ของเดือน,-
|*1AB1/MD27,*1AB1/MD27,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 27 ของเดือน,-
|*1AB1/MD28,*1AB1/MD28,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 28 ของเดือน,-
|*1AB1/MD29,*1AB1/MD29,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 29 ของเดือน,-
|*1AB1/MD30,*1AB1/MD30,-,เดือนละ 1 ครั้ง ก่อนอาหาร เช้า,ทุกวันที่ 30 ของเดือน,-
|*1AB1/W,*1AB1/W,-,สัปดาห์ละ 1 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB1/W30,*1AB1/W30,-,สัปดาห์ละ 1 ครั้ง ก่อนอาหารเช้า 30 นาที,-,-
|*1AB2/M,*1AB2/M,-,เดือนละ 2 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB2/W,*1AB2/W,-,สัปดาห์ละ 2 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB3/W,*1AB3/W,-,สัปดาห์ละ 3 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB4/W,*1AB4/W,-,สัปดาห์ละ 4 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB5/W,*1AB5/W,-,สัปดาห์ละ 5 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AB6/W,*1AB6/W,-,สัปดาห์ละ 6 ครั้ง ก่อนอาหาร เช้า,-,-
|*1AD1/M,*1AD1/M,-,เดือนละ 1 ครั้ง ก่อนอาหาร เย็น,-,-
|*1AD1/W,*1AD1/W,-,สัปดาห์ละ 1 ครั้ง ก่อนอาหาร เย็น,-,-
|*1AD2/M,*1AD2/M,-,เดือนละ 2 ครั้ง ก่อนอาหาร เย็น,-,-
|*1AD2/W,*1AD2/W,-,สัปดาห์ละ 2 ครั้ง ก่อนอาหาร เย็น,-,-
